Queries,Number of Overlapping Results,Percentage Overlap,Spearman Coefficient
Query 1,2,20.0,-49.0
Query 2,1,10.0,1
Query 3,1,10.0,0
Query 4,1,10.0,0
Query 5,0,0.0,0
Query 6,3,30.0,-5.0
Query 7,3,30.0,-9.25
Query 8,3,30.0,-12.5
Query 9,0,0.0,0
Query 10,2,20.0,-36.0
Query 11,4,40.0,-0.3999999999999999
Query 12,3,30.0,-11.5
Query 13,6,60.0,0.7428571428571429
Query 14,2,20.0,0.0
Query 15,0,0.0,0
Query 16,0,0.0,0
Query 17,1,10.0,0
Query 18,0,0.0,0
Query 19,3,30.0,-8.0
Query 20,2,20.0,-40.0
Query 21,2,20.0,0.0
Query 22,0,0.0,0
Query 23,0,0.0,0
Query 24,2,20.0,-17.0
Query 25,2,20.0,-7.0
Query 26,4,40.0,-2.9
Query 27,0,0.0,0
Query 28,3,30.0,-0.5
Query 29,1,10.0,0
Query 30,0,0.0,0
Query 31,1,10.0,0
Query 32,1,10.0,0
Query 33,1,10.0,0
Query 34,2,20.0,-1.0
Query 35,0,0.0,0
Query 36,0,0.0,0
Query 37,1,10.0,0
Query 38,4,40.0,-7.300000000000001
Query 39,2,20.0,-1.0
Query 40,0,0.0,0
Query 41,3,30.0,-17.25
Query 42,1,10.0,0
Query 43,4,40.0,-3.3
Query 44,0,0.0,0
Query 45,1,10.0,0
Query 46,2,20.0,-1.0
Query 47,0,0.0,0
Query 48,0,0.0,0
Query 49,2,20.0,-19.0
Query 50,3,30.0,-6.25
Query 51,4,40.0,-2.5
Query 52,2,20.0,-15.0
Query 53,0,0.0,0
Query 54,0,0.0,0
Query 55,0,0.0,0
Query 56,1,10.0,0
Query 57,2,20.0,-89.0
Query 58,0,0.0,0
Query 59,0,0.0,0
Query 60,0,0.0,0
Query 61,2,20.0,-71.0
Query 62,4,40.0,-2.8
Query 63,3,30.0,-4.25
Query 64,2,20.0,-1.0
Query 65,1,10.0,0
Query 66,2,20.0,-16.0
Query 67,1,10.0,0
Query 68,2,20.0,-19.0
Query 69,0,0.0,0
Query 70,0,0.0,0
Query 71,0,0.0,0
Query 72,3,30.0,-13.75
Query 73,2,20.0,-4.0
Query 74,0,0.0,0
Query 75,1,10.0,0
Query 76,2,20.0,-48.0
Query 77,1,10.0,0
Query 78,2,20.0,-4.0
Query 79,1,10.0,0
Query 80,1,10.0,0
Query 81,2,20.0,-1.0
Query 82,2,20.0,-57.0
Query 83,0,0.0,0
Query 84,0,0.0,0
Query 85,2,20.0,-1.0
Query 86,1,10.0,0
Query 87,2,20.0,-1.0
Query 88,1,10.0,1
Query 89,3,30.0,1.0
Query 90,0,0.0,0
Query 91,3,30.0,-7.25
Query 92,0,0.0,0
Query 93,2,20.0,0.0
Query 94,2,20.0,-3.0
Query 95,0,0.0,0
Query 96,1,10.0,0
Query 97,0,0.0,0
Query 98,3,30.0,-1.75
Query 99,0,0.0,0
Query 100,0,0.0,0
